"filename", "language", "Python", "pip requirements", "Properties", "HTML", "JavaScript", "XML", "Markdown", "PostCSS", "reStructuredText", "Batch", "PowerShell", "comment", "blank", "total"
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\migrations\0003_tokenproxy.py", "Python", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6, -26
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\migrations\0004_alter_tokenproxy_options.py", "Python", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6, -18
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\models.py", "Python", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -11, -56
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\serializers.py", "Python", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -43
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\authtoken\views.py", "Python", -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -63
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\checks.py", "Python", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3, -22
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\compat.py", "Python", -136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -45, -210
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\decorators.py", "Python", -115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, -57, -234
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\documentation.py", "Python", -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -89
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\exceptions.py", "Python", -168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -56, -265
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\fields.py", "Python", -1306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -285, -320, -1911
